Price,Date
47.803208333333345,2010.07.21
58.061249999999994,2010.07.22
46.14604166666667,2010.07.23
43.593291666666666,2010.07.24
19.148125000000004,2010.07.25
38.118249999999996,2010.07.26
47.85345833333333,2010.07.27
43.73266666666666,2010.07.28
43.87241666666666,2010.07.29
42.24141666666667,2010.07.30
38.43279166666667,2010.07.31
28.92320833333333,2010.08.01
43.666374999999995,2010.08.02
41.317249999999994,2010.08.03
41.027375000000006,2010.08.04
39.800666666666665,2010.08.05
38.54083333333333,2010.08.06
35.11066666666667,2010.08.07
24.082625000000004,2010.08.08
38.74133333333334,2010.08.09
39.142208333333336,2010.08.10
40.13670833333333,2010.08.11
42.20341666666666,2010.08.12
42.13241666666667,2010.08.13
36.73000000000001,2010.08.14
27.17804166666667,2010.08.15
1147.9559583333332,2010.08.16
43.26254166666667,2010.08.17
40.043458333333334,2010.08.18
41.14133333333334,2010.08.19
43.62241666666666,2010.08.20
39.193041666666666,2010.08.21
30.907291666666662,2010.08.22
54.28129166666667,2010.08.23
56.181666666666665,2010.08.24
42.60504166666667,2010.08.25
50.546,2010.08.26
54.69575,2010.08.27
45.5765,2010.08.28
29.865916666666667,2010.08.29
34.44079166666666,2010.08.30
46.43808333333333,2010.08.31
46.53641666666667,2010.09.01
45.21483333333333,2010.09.02
46.64641666666666,2010.09.03
44.94879166666666,2010.09.04
41.04262500000001,2010.09.05
42.42254166666667,2010.09.06
45.56258333333333,2010.09.07
38.176666666666655,2010.09.08
45.242625,2010.09.09
46.91749999999999,2010.09.10
43.73933333333333,2010.09.11
35.90016666666667,2010.09.12
43.57487500000001,2010.09.13
44.85241666666668,2010.09.14
43.794125,2010.09.15
45.75074999999999,2010.09.16
47.766541666666676,2010.09.17
42.153416666666665,2010.09.18
36.89870833333334,2010.09.19
51.19920833333333,2010.09.20
50.22241666666667,2010.09.21
51.150625,2010.09.22
50.786999999999985,2010.09.23
49.38616666666667,2010.09.24
45.68775,2010.09.25
38.00545833333333,2010.09.26
50.95679166666667,2010.09.27
55.037,2010.09.28
56.001124999999995,2010.09.29
57.22854166666665,2010.09.30
55.78820833333332,2010.10.01
47.51229166666668,2010.10.02
40.561249999999994,2010.10.03
50.41962499999999,2010.10.04
51.23695833333334,2010.10.05
52.07425,2010.10.06
52.28183333333334,2010.10.07
49.61758333333333,2010.10.08
46.965583333333335,2010.10.09
45.85975,2010.10.10
48.67124999999999,2010.10.11
54.03220833333333,2010.10.12
54.57925,2010.10.13
53.80725,2010.10.14
56.261833333333335,2010.10.15
40.17041666666666,2010.10.16
52.60037499999999,2010.10.17
58.29679166666666,2010.10.18
57.252333333333326,2010.10.19
54.46620833333333,2010.10.20
53.519,2010.10.21
54.15516666666667,2010.10.22
46.42979166666667,2010.10.23
42.66516666666667,2010.10.24
52.35604166666667,2010.10.25
57.11858333333333,2010.10.26
52.32049999999999,2010.10.27
52.069375,2010.10.28
51.31962500000001,2010.10.29
47.14166666666667,2010.10.30
31.948760000000004,2010.10.31
41.865375,2010.11.01
47.314125,2010.11.02
40.50304166666667,2010.11.03
43.17854166666668,2010.11.04
42.649791666666665,2010.11.05
51.430958333333315,2010.11.06
46.97504166666667,2010.11.07
49.48550000000001,2010.11.08
52.753083333333336,2010.11.09
49.031666666666666,2010.11.10
42.80116666666666,2010.11.11
37.05154166666666,2010.11.12
37.78504166666668,2010.11.13
32.56120833333333,2010.11.14
46.33120833333333,2010.11.15
51.73500000000001,2010.11.16
50.09383333333333,2010.11.17
43.184666666666665,2010.11.18
52.464416666666665,2010.11.19
48.11612499999999,2010.11.20
42.73008333333333,2010.11.21
45.908208333333334,2010.11.22
50.271166666666666,2010.11.23
45.645333333333326,2010.11.24
57.50925000000001,2010.11.25
55.19308333333334,2010.11.26
52.552249999999994,2010.11.27
47.86154166666666,2010.11.28
57.119,2010.11.29
57.484625,2010.11.30
47.43116666666666,2010.12.01
54.11491666666666,2010.12.02
61.637249999999995,2010.12.03
52.31154166666668,2010.12.04
42.48158333333333,2010.12.05
56.89724999999999,2010.12.06
61.635875000000006,2010.12.07
52.794333333333334,2010.12.08
50.456583333333334,2010.12.09
55.08220833333332,2010.12.10
38.056416666666664,2010.12.11
43.37875,2010.12.12
62.107499999999995,2010.12.13
62.32608333333334,2010.12.14
66.71308333333333,2010.12.15
45.96808333333333,2010.12.16
51.611875000000005,2010.12.17
45.14120833333332,2010.12.18
31.867583333333332,2010.12.19
58.28475,2010.12.20
62.935375,2010.12.21
38.822333333333326,2010.12.22
44.49525,2010.12.23
30.280500000000007,2010.12.24
31.817041666666665,2010.12.25
40.07320833333334,2010.12.26
55.97495833333334,2010.12.27
42.75033333333334,2010.12.28
49.985208333333325,2010.12.29
50.57441666666667,2010.12.30
41.56658333333333,2010.12.31
30.223249999999997,2011-01-01 00:00:00
41.8255,2011-01-02 00:00:00
65.50408333333333,2011-01-03 00:00:00
61.60279166666666,2011-01-04 00:00:00
54.25720833333333,2011-01-05 00:00:00
45.11270833333334,2011-01-06 00:00:00
47.022166666666664,2011-01-07 00:00:00
38.258791666666674,2011-01-08 00:00:00
34.8325,2011-01-09 00:00:00
59.425333333333334,2011-01-10 00:00:00
52.339125,2011-01-11 00:00:00
52.13454166666666,2011-01-12 00:00:00
48.73358333333332,2011-01-13 00:00:00
44.89745833333333,2011-01-14 00:00:00
37.22345833333333,2011-01-15 00:00:00
28.216375,2011-01-16 00:00:00
44.939874999999994,2011-01-17 00:00:00
52.67087499999999,2011-01-18 00:00:00
55.092291666666675,2011-01-19 00:00:00
